MRC Psycholinguistic Database Output
WORD                     NSYL
ABLE                     1
ACHE                     1
ADZE                     1
AGRE                     1
AIDE                     1
AIEL                     1
AIRE                     1
AIRT                     1
AITH                     1
AKRE                     1
ALBE                     1
ALCE                     1
ALME                     1
ALMS                     1
AN'T                     1
ANKH                     1
ANTE                     1
APSE                     1
ARCH                     1
ARGH                     1
ARLE                     1
ARSE                     1
ATTE                     1
AUBE                     1
AUGE                     1
AUGH                     1
AULD                     1
AUNE                     1
AUNT                     1
AYAH                     1
AYEN                     1
AYME                     1
AYNE                     1
AYRE                     1
BAAL                     1
BABE                     1
BACK                     1
BADE                     1
BAFF                     1
BAFT                     1
BAIL                     1
BAIN                     1
BAIT                     1
BAKE                     1
BALD                     1
BALE                     1
BALK                     1
BALL                     1
BALM                     1
BANC                     1
BAND                     1
BANE                     1
BANG                     1
BANK                     1
BANT                     1
BARB                     1
BARD                     1
BARE                     1
BARK                     1
BARM                     1
BARN                     1
BARR                     1
BASE                     1
BASH                     1
BASK                     1
BAST                     1
BATE                     1
BATS                     1
BATT                     1
BATZ                     1
BAUD                     1
BAUK                     1
BAWD                     1
BAWL                     1
BAWN                     1
BAYZ                     1
BEAD                     1
BEAK                     1
BEAL                     1
BEAM                     1
BEAN                     1
BEAR                     1
BEAT                     1
BEAU                     1
BECK                     1
BEDE                     1
BEEN                     1
BEER                     1
BEET                     1
BEIN                     1
BELK                     1
BELL                     1
BELT                     1
BEME                     1
BEND                     1
BENE                     1
BENT                     1
BERE                     1
BERG                     1
BERM                     1
BEST                     1
BETH                     1
BIAS                     1
BIBB                     1
BICE                     1
BIDE                     1
BIER                     1
BIFF                     1
BIGG                     1
BIKE                     1
BIKH                     1
BILK                     1
BIND                     1
BINE                     1
BING                     1
BINK                     1
BIRD                     1
BIRK                     1
BIRL                     1
BIRR                     1
BIRT                     1
BISE                     1
BISH                     1
BISK                     1
BIST                     1
BITE                     1
BITT                     1
BLAB                     1
BLAD                     1
BLAE                     1
BLAS                     1
BLAY                     1
BLEA                     1
BLEB                     1
BLED                     1
BLEE                     1
BLET                     1
BLEW                     1
BLIN                     1
BLOB                     1
BLOC                     1
BLOK                     1
BLOT                     1
BLOW                     1
BLUB                     1
BLUE                     1
BLUR                     1
BOAR                     1
BOAT                     1
BOCK                     1
BODE                     1
BOIL                     1
BOKE                     1
BOLD                     1
BOLE                     1
BOLK                     1
BOLL                     1
BOLT                     1
BOMB                     1
BOND                     1
BONE                     1
BOOB                     1
BOOK                     1
BOOM                     1
BOON                     1
BOOR                     1
BOOT                     1
BORD                     1
BORE                     1
BORN                     1
BORT                     1
BOSH                     1
BOSK                     1
BOSS                     1
BOTE                     1
BOTH                     1
BOUD                     1
BOUK                     1
BOUL                     1
BOUN                     1
BOUR                     1
BOUT                     1
BOVE                     1
BOWE                     1
BOWL                     1
BRAB                     1
BRAD                     1
BRAE                     1
BRAG                     1
BRAN                     1
BRAT                     1
BRAW                     1
BRAY                     1
BRED                     1
BREE                     1
